Titre;Année;Justwatch;Note Austr;Note CMS;Note FA;Reco FENET;Série;Tags;Resume;note_globale;note_violence;note_sexe;note_complexite;note_language;note_drogue;age_interdit;age_recommandé;duration;scenariste;cover_url;trailer_url;realisateur;scenariste2;distributeur
L’Histoire sans fin;1984;https://www.justwatch.com/fr/film/lhistoire-sans-fin;G;8;7;;L'histoire sans fin;Action|Drame;;;;;;;;;;;;;;;;
L’aile ou la cuisse;1976;;;;;;;Comédie;;;;;;;;;;;;;;;;
L’Histoire sans fin 3 : Retour à Fantasia;1993;https://www.justwatch.com/fr/film/lhistoire-sans-fin-3-retour-a-fantasia;G;8;7;;L'histoire sans fin;Action|Drame;;;;;;;;;;;;;;;;
La Coccinelle à Monte-Carlo;1977;;;;;;La Cocinelle;Action|Comédie;;;;;;;;;;;;;;;;
La Coccinelle à Mexico;1980;https://www.justwatch.com/fr/film/herbie-goes-bananas;G;6;-;;La Cocinelle;Action|Comédie;;;;;;;;;;;;;;;;
L’Ours;1988;;PG;10;10;;;Action|Drame;;;;;;;;;;;;;;;;
La Folle Histoire de l’espace;1987;;PG;12;7;;;Comédie|Science-fiction;;;;;;;;;;;;;;;;
La Famille Addams;1991;;PG;12;12;;Famille Addams;Comédie|Fantastique;;;;;;;;;;;;;;;;
La Petite Boutique des horreurs;1986;;PG;12;14;;;Comédie|Musical|Horreur;;;;;;;;;;;;;;;;
La Grande Vadrouille;1966;;;;;;;Comédie|Guerre;;;;;;;;;;;;;;;;
La Soupe aux choux;1981;;-;-;10;;;Comédie|Drame|Science-fiction;;;;;;;;;;;;;;;;
Le Corniaud;1965;;;;;;;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Le Monde perdu : Jurassic Park;1997;;PG;12;12;;Jurassic Park;Action|Science-fiction;;;;;;;;;;;;;;;;
Le Grinch;2000;;PG;8;10;;;Comédie|Fantastique;;;;;;;;;;;;;;;;
Le maître d’école;1981;;-;-;10;;;Comédie|Drame;;;;;;;;;;;;;;;;
Les 101 Dalmatiens;1996;https://www.justwatch.com/fr/film/les-101-dalmatiens-le-film;G;5;7;;;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
